,reviewText,overall,rating,TextBlobAnalysis,TextBlob_Sentiment,CNN_Sentiment
100857,"Hunter 90434 16-Inch Portable Stand Fan, Oil Rubbed BronzeThis review is about the Hunter 90434 16-Inch Portable Stand Fan, Oil Rubbed Bronze Fan. It's a very nice oscillating 3 speed adjustable height fan. You assemble it your self. When attempting to assemble the fan I found out I had a striped screw. So I contacted Hunter Fan company and they shipped me a new fan. Which assembled with no problems. I set my fan in my sliding glass windows when it cools off at night,it does a very nice job of cooling off the room.The fan comes with a 5 year warranty from Haunter.As of 7/03/1220 I'm very happy with this fan. I leave it on at night, and it's not to noisy on low  speed for sleeping (it's a 3 speed fan)The fan is efficient at what it does and that is move air weather it's stationary or it's oscillating!",5.0,1,"[0.0, 0.78, 0.0, 0.0, 0.13636363636363635, 0.0, 0.89, 0.0]",1,1
100858,"Needed these because I was refinishing a large dining table. Worked as expected, good tack, needed only about 1/4 of a single cloth, using it for several stages. Seems like a quality product made in the USA - not Chinese c**p. Each cloth individually wrapped, so he package should last a very long time.",5.0,1,"[0.21428571428571427, 0.10571428571428572, 0.0, -0.021666666666666667]",1,1
100859,"These are large and long lasting tack cloths, and it's handy to have a dozen individually wrapped in a box.",5.0,1,[0.15285714285714286],1,1
100860,I need these all the time mfor my woodworking finishing. These are great and the cost is much better than I've found anywhere else,5.0,1,"[0.0, 0.65]",1,1
100861,Good quality.  They are packaged well and can be opened individually as needed.  They do the job with out leaving any residue so far.,4.0,1,"[0.7, 0.0, 0.1]",1,1
100862,"Just one of these goes a long way.  I've already used one of them for a bunch of projects.  Please note, that is not the purest way of removing materials from your project, but I've made do.  That said, there are a bunch of single packaged cheese cloths in here, so one box should last you a while.",5.0,1,"[-0.05, 0.0, 0.0, -0.03571428571428571]",0,1
100863,Works great. I love it. Makes for a nice clean job. Don't know how I did without it.,5.0,1,"[0.8, 0.5, 0.48333333333333334, 0.0]",1,1
100864,"First, I showed my unit to actual house and cabinet builders and one has a RotoZip, while the other a similar tool. They both like them for small projects. They stated that their respective zip saws are fairly durable. The handle on the RotoZip can be mounted for both right and left handed people. The dust collector is great, especially if you have work inside the house. Personally, I used this tool for wood cutting: boards and trims. I find the flexibility of a hand held zip saw appealing.The only major issue I faced was when I assembled the unit. The external washer needs to be installed facing the opposite side of what seems natural - with the indentation facing the blade. Needless to say, when I initially installed it incorrectly I almost damaged the plastic protector.",5.0,1,"[0.03125, -0.25, 0.35, 0.14285714285714285, 0.4, -0.3, 0.1875, 0.03333333333333333, -0.25]",1,1
100865,"Cutting tiles is only time consuming but expensive.  One small mistake and a tile can shatter.  Too many mistakes and you're buying a whole box, adding twenty percent or more to the cost of the project.  We've laid several tile floors, and it's never been a happy job.  But usig the RotoZip made our latest job so much easier.  The learning curve was fairly simple, and we had several complicated cuts without breaking a single tile.  We managed to perfectly to tile the area around the toilet with having to resort to extra heavy grout lines or any other tricks becuase the tiles were cut to well.  This tool will pay for itself on your first project.",5.0,1,"[-0.3666666666666667, -0.25, 0.39999999999999997, 0.4, 0.35, -0.14285714285714285, 0.12833333333333333, 0.25]",1,1
100866,"I was eager to try out this new saw.  Having never tried (or heard of) a Rotozip before, I was curious to see where I could put it to good use.Sure enough, I just had to put in a new patio door and needed to cut out some old trim, siding, and j-channels.  Man, did this thing come in handy!  First of all, you can more accurately cut with this saw than with using a Sawzall, which is what I was comparing it to.  It's pretty impressive to have such a powerful tool in one hand, allowing you to make precise cuts with ease. Of course, it can be daunting as well, as I had horrible images of accidentally sawing off a finger or too.Make sure you have the blade guard on at ALL times, even though it makes it tougher to cut. Unfortunately due to the guard, you cannot make very deep cuts with this saw (maybe 2""-3""). But you will definitely have an accurate, smooth cut, without a doubt.This saw comes with a blade for wood, a diamond blade for tile, and a fine toothed blade for ceramics and metal.  Thus far I've only used the wood blade, and it has been absolutely fantastic.  I've used it to trim branches off my Christmas tree, make small cuts in some 2""x4""s, and used it on vinyl siding, all with great results.The one thing worth mentioning - make SURE you read the directions carefully on how to put the blade in. I thought I read them correctly, but the thick washer that you use to secure the blade (with the indentation in it) goes on with the indentation facing INWARDS, towards the handle.  It does not go on the way you would think it would go, with the indentation facing outwards, allowing you to screw it down tighter.  I initially had it in backwards, and the blade was wobbly and it chewed up the plastic safety guard. The blade also spun independently of the motor. In essence - if the washer is put on incorrectly, the blade is LOOSE. The directions weren't clear AT ALL on this point - never mentioned it, and the picture they drew was almost impossible to see which way the nut was facing. This could be a potentially serious issue for this company, as I could imagine the wobbly blade flying off and gouging someone in the face.My only other gripe is that it didn't come with a case.  So I have the saw and all the blades and tools that I need for it just sitting on a bench in my garage. Would've been nice if they included a case.Besides these two hiccups, this little saw is fantastic and extremely useful! It's got plenty of power for just about anything you could use it for. This may be one of those tools that seems useful but would be something you wouldn't necessarily buy. I'm telling you - this Rotozip is VERY useful, and definitely worth the price.",5.0,1,"[0.13636363636363635, 0.22272727272727275, 0.6, 0.38333333333333336, 0.39, -0.25, -0.0625, 0.3041666666666667, 0.16666666666666666, 0.25, 0.04999999999999999, -0.15555555555555559, 0.0, 0.0, -0.07692307692307693, -0.35833333333333334, -0.15277777777777776, 0.0, 0.278125, 0.0, 0.15, 0.345]",1,1
100868,"This compact little saw is quick to set up straight out of the box and is very easy to use.  It's pretty powerful, too, and after using it on 2 home projects I am extremely impressed.  I was able to do the little assembly required without looking at the instructions, and the very first thing we did was cut a metal pipe on our cat tree so it would fit properly to the ceiling.  In just a couple of minutes, we had it marked and cut it to fit.  A couple of days later, we had to enlarge a hole in the wall when replacing the stove exhaust fan, and this saw worked really well.  It's a hefty piece of equipment and I wasn't able to hold it when cutting about 5 1/2 up the wall, but my husband (who is both taller and stronger) could do so easily.The detachable handle is just perfect, and the little vacuum attachment for dust from the wallboard was handy, but note I have not yet used it on a large amount of wood where there is a lot of sawdust.  The cord is a good length but a little cumbersome, but because of the weight of the unit, you wouldn't want a huge rechargeable battery on this.  We were able to find more blades at the local national-chain hardware store, as well.  All in all, I think this is an excellent little saw for home fix-it projects.",5.0,1,"[0.22729166666666667, 0.5166666666666667, 0.20750000000000002, 0.25, 0.1, 0.15022321428571428, 0.3041666666666667, 0.3333333333333333, 0.40625]",1,1
100869,"First off, I'm very happy with the Rotozip.  It's a good little zip saw and is great for tiling.  My issue came when I wanted to cut metal, and found that while the box includes saws for wood and tile, it doesn't include one for metal.I look in the manual and it says I have to buy one.  No big deal right?  Well the saws it uses are proprietary, which is strike 1, but then I found that Amazon only sells the Wood and Tile saws (the ones that come with it) but not metal!  Some third party stores carry it, but they are dwindling.I've heard other people have success with non-proprietary saws, but when it comes to blades spinning very quickly, I'm sticking to the manual.  I believe if you're going to make proprietary products, you have to support them.  Come on RotoZip!",4.0,1,"[0.625, 0.4375, 0.0, 0.14285714285714285, 0.0, 0.15208333333333335, 0.0, 0.0]",1,1
100870,"Overall, this Rotozip is a nice saw.Powerful and versatile, I've used it to cut down a tree branch and cut a bike seat post.Everyone needs a portable saw around the house and this one does the job.I deducted one star for considerations that it is a bit heavy, it is a bit pricey relative to the competition, and should come with storage case.",4.0,1,[0.09074074074074072],1,1
100871,"Great concept and powerful tool. Sadly the same managers and accountants who blewup two space shuttles and bankrupted GM now work for RotoZip.The foolslimit any field testing, do not use the product they make, and belittle theengineers who attempt to put quality in.  ( sounds like I have an agenda !)The blade clamping system is not effective, and needs redesign. The motorover powers the clamp forces of the alan screw hold down and the bladespin uselessly under moderate to hard torque force.Stay away , I should have bought the Craig toe kick saw , a clunkiermore expensive solution .Look in the mirror Mr CEO Rotozip  and freshen your resume , you can'tblame this looser on any underling. Cash out your stock options now.The comments by other users were helpfulI now eat crow meat , I had the clamp screw assembled intuitively , withthe Washer counter sunk area under the screw head . Wrong .... How can a neanderthal be expected to read ....let alone the fine print.The tool beats all previous flint knives and stone hammers.I now am top man in the clan of the cave bear.Let the Rotozip CEO extend his stay on the company jet with his yes men.Glad I  put up with  only my own screw ups.",3.0,1,"[0.55, -0.25, 0.0, -0.3, -0.28944444444444445, -0.125, 0.15625]",0,0
100872,very thin - much thinner than 2 sided carpet tape and the like. Super strong holdoing power - only use small peices or you would be able to take them apart.,5.0,1,"[-0.16, 0.2033333333333333]",1,1
100873,"I bought this tape for inlay purposes but quickly discovered that it has hundreds of other uses in the shop. I find myself laughing because almost every time I run into a problem with holding something in place, this tape is the answer. Today I used it to hold a work piece to a sacrificial piece of wood for routing and to hold a stop board clamped to my router table fence from slipping. Yesterday, I used it for holding cauls in place while I applied clamps to a glue-up of a tool box carcass. I think I have used it at least once every day this week.The tape holds wood pieces together very securely. You may need a thin putty knife to pry them apart. The adhesive strength is a perfect balance between holding securely and being able to separate the parts later.I will never be without this tape in my shop again! I highly recommend this to anyone who works with wood even if you don't have a particular need for it now. Believe me, you'll find a multitude of uses.",5.0,1,"[0.10416666666666666, 0.0, -0.1, 0.0, 0.11000000000000001, -0.4, 0.475, 0.16333333333333333, 0.0]",1,1
100874,We had tried a number of different solutions to keep boards and templates together when routing the finished piece to the template.  This tape is the only one we found that worked well.  Other tapes didn't hold firmly or had too much &#34;give&#34; in their hold.  Hot glue tore off some of the finished piece's surface.  This tape is great and didn't have any of the problems.,5.0,1,"[0.0, 0.0, -0.041666666666666664, 0.25, 0.8]",1,1
100875,Great tape!  Strong enough to hold wood together temporarily - peels off clean with no residue.It is great to hold a small piece of wood to a larger one so I can sand and shape it.  Store it in a zip-type sandwich bag so it will not dry out and it should last for a while.,5.0,1,"[0.8, 0.225, 0.016666666666666663]",1,1
100876,Holds my woodworking pieces together really well.  Has good holding strength.  Highly recommend.  I have used several time to hold similar pieces of wood together while routing.,4.0,1,"[0.2, 0.7, 0.16, 0.0]",1,1
100877,"Really,for $10 i have a roll of tape that i use for many , many guitar, instrument repairs...I am always surprised when i use this tape...very strong....you only need a little bit...i even used this  to adhere  a temporary fence on my tablesaw sled!!!!!No more glue!!!!...no more sanding...Tape does not leave much residue either",5.0,1,"[0.2394047619047619, -0.25, -0.024999999999999994]",0,1
100879,What I like about the alarm is that it has a long (six foot) water sensor cable.  So you can wrap around a water heater instead of one place.  Apparently you can purchase a lot longer water sensor cable that fits into the unit.  Maybe if you had a series of units you wanted to assure no water leaks. Uses the small telephone jacks to plug in the cable.  I do wish it had a remote sensor.  My water softener is out in the garage.  Would like the remote sensor to be inside the house to make sure I could hear it.,5.0,1,"[-0.05, 0.0, 0.05, 0.0, -0.25, -0.1, 0.0, 0.2]",0,1
100880,"the Honeywell RWD41 Water Defense Water Sensing Alarm will alarm when the line comes in contact with water,but i found the alarm to not be as loud as a normal smoke alarm. my water heater is in the garage and I really cant hear the alarm sound on the other side of my kitchen door in the house. that is my only issue and the main reason I bought this item, I would not buy this again for that reason.",3.0,1,"[0.125, 0.15833333333333335, 0.08333333333333333]",1,1
100881,"Water leaks can be a very serious problem that can dramatically damage property. Unfortunately, most water leaks happen in out-of-sight places, and are therefore hard to detect and manage. In such cases a good water detector can go a long way in easing your mind and helping you prevent serious water destruction.This Honeywell water alarm is well designed and works just as advertised. It's a self-contained unit that can be installed virtually anywhere. It runs on a 9V battery, just like most smoke detectors. However, unlike smoke detectors it doesn't come with a button that will let you know if the battery is dead. This may be a problem if your water detector is located in a hard to reach place.The detector can be mounted either on a mounting hook (not included) or using the self-adhesive double-sided tape (included). The problem with the latter mounting option is that if you place the detector in some inaccessible place, then you'll have a hard time replacing the battery later on. Thanks to its squareish shape, the detector can also be placed flat on any level surface, which is the setup that I have chosen to go with.The detector comes with a 4 ft. (1.2 m) leak detection cable, which is barely adequate for covering a small area. It also comes with the 6 ft. (1.8 m) leader connection that can substantially extend the detection coverage area. In fact, the leak detection cable is expandable p to 240 ft., a sufficient length that can cover a perimeter of any large room. The cables are flexible, but they are not very pliable, i.e. they won't easily conform to a shape that you would like them to be in. The cable comes with cable securing clips though, and these can be used to arrange the cable into the desirable shape. However, if you decide to change the cable's setup you will not be able to reuse these clips.I tested the alarm by spilling some water on the detection cable, and the alarm immediately went off. The alarm is fairly loud, but not as loud as the smoke detector alarm. Furthermore, unlike the smoke detectors I could not turn it off manually, but had to resort to lifting the detection cable out of the wet area.I certainly wish that this water detector had a bit better functionality, but for the basic water detection it works very well. It's a good investment for the peace of mind that it brings you.",4.0,1,"[-0.43333333333333335, 0.10416666666666666, 0.07916666666666665, 0.0, 0.5, -0.2, -0.14583333333333334, -0.09722222222222222, 0.06458333333333333, 0.0, 0.21428571428571427, -0.1, -0.21666666666666667, 0.0, 0.5, 0.1, 0.16285714285714287, 0.7]",1,1
