,reviewText,overall,rating,TextBlobAnalysis,TextBlob_Sentiment,CNN_Sentiment
100867,It is rather limited in what it can cut. Worst thng is that the depth is not adjustable. So many other options and I made a mistake and bought this.,1.0,0,"[-0.07142857142857142, -1.0, 0.1875]",0,0
100878,"I would not use this tape for templates, which is the purpose of it's purchase.  After setting in a draw for a couple of days, the glue started to dry out and was no sticky.  I lost six inches of tape in a couple of days.  You would think that the product would atleast stick to itself.  How can I trust it on a template that is going to be used on expensive wood, with any trust in the product.",2.0,0,"[0.0, -0.06666666666666665, 0.0, 0.0, -0.5]",0,0
100896,"Okay, every other review said this was too quiet.  I thought, &#34;hey, it's in my basement, but I'll hear it.It's a small house- I'll stick it on the a/c ducts so that it echos through the house...&#34;It went off the other day, we only heard it because someone went downstairs to get something out of the room where it lives.  This is really, really, too quiet for practical use.",2.0,0,"[0.125, -0.125, 0.1]",1,1
100905,"I bought 6 rolls of this underlayment. I am very disappointed with its quality. When I rolled out the second roll, I found it was seamed by two pieces with tapes and it was 1 feet shorter than it should be. But this is not all. After I rolled out my 3rd roll, I found it was seamed as well.I consider seamed underlayment defect product and don't understand why I got 2 in 6 of my delivers.  I contacted the seller but haven't got any reply.",2.0,0,"[0.0, -0.9750000000000001, 0.0, 0.0, 0.0, 0.0]",0,0
100988,"These are very cheaply made files that don't cut effectively.  Even for the very small amount of metal removal I needed to do(about .25 sq inches), these files wore out before I finished filing.  They took forever to use, as well.The case broke when I opened it the first time",2.0,0,"[0.56, -0.325, 0.25]",1,0
101005,"I wish I had written this review about a year ago, soon after I purchased this tool for a much higher price, because it might have caused others to stop and think more carefully about buying this boat anchor.  If you don't care about accuracy, don't care about the ability to drill holes repeatedly, and don't care about the ability to easily drill in hardwood, this is the tool for you.  I had already used the Kreg jig quit a bit and was pretty happy with it.  Its shortcomings to me were 1) difficulty in adjusting for different wood thicknesses, 2) no ""on-board"" stop for repetitive operations, 3) spacing between holes not adjustable, 4) sometimes hard, and a trial and error process, to change hole depth.  This Porter Cable 560 seemed to address the first three of these issues.  Generally, I work with 3/4 stock (or sometimes 2 X 4s) so I don't often need to adjust for thickness.  The stop on the Porter Cable would be nice if it did really ensure repeatable holes.  Holes on the right side are pretty much repeatable.  But, holes on the left side are not where they should be because of the flaky mechanism which has way to much slop.  Similarly, the Porter Cable adjustable hole spacing would be nice if the holes actually came out where indicated by the marks on top where you set the spacing.  But they do not, again due to the mechanism.  For what I do, exact hole spacing is usually not an issue. In a recent case, however, I needed to keep a hole away from a slot in the edge.  The slot would receive a 1/4 panel when the pocket holes were joined.  I could have avoided this concern by making a ""stopped"" slot.  But, this is a lot of work.  Despite carefully aligning the left hole clearly away from the slot and carefully lining up the board against the stop, some holes drifted into the slot a little bit.  This is non-repeatabiliy due to the slop in the device.  As for the ability to work with hardwoods, I find it difficult to apply enough force to power the bit through using the Porter Cable.  I don't have nearly as much trouble using the Kreg.  Long ago, I gave up using a battery powered drill to make pocket holes.  I use a corded drill bigger than your standard drill so it's not for lack of power that drilling in hardwood is so difficult.  I think that either the guide bushings or the furnished bit (or both) are dull.  I thought I try to use one of my Kreg bits to sort this out but you can't because the Porter Cable bit is significantly longer.  I haven't really used this tool that much and much of my work has been in pine which drills ""okay"".  I usually make a pine model of something before I use hardwood because there are almosts always ""oops"" that show up during the model buildup.  Almost always, when you have to use more pressure to drill with the Porter Cable, the hole on the left is somewhat closer (deeper) to the edge of the board than the right hole.  This affects hole depth and perhaps screw holding ability.  However, I have never had a screw break through the receiving board because the hole was too deep.  This is again cause by the flaky mechanism and slop.  When using the Porter Cable, you control the depth of the hole by pressing the drill bushing against a metal plate that moves with the drill until you reach the correct depth.  This requires that you apply even more force when drilling - force to move the drill and force to push the plate down.  I work around this by simply compressing the plate fully down with my left hand while drilling with my right.  When you look at how this mechanism actually works to limit the hole depth, you can see how flimsy it is and why hole depths can easily vary.  A significant limitation of the Porter Cable tool is that you can't manually adjust the hole depth.  Why would one want to do that anyway.  Here's why.  Sometimes I need to use a different length of screw than recommended.  In a recent case, the standard screw length for 3/4 wood is 1 1/4.  When I tested this screw on my project, I didn't get enough bite because the screw ended up in the slot I discribed above.  When I simply tried a 1 1/2 screw, I got better bite, but the end of the screw was uncomfortably close to breaking out of the receiving board.  The goal of a ""perfect"" pocket hole is that it exit the board at the center of the board.  The Porter Cable tool does this well.  What I needed was to adjust the depth of the hole so that the exit point was a little above center so that a longer screw doesn't come as close to breaking out.  The Porter Cable can't be adjusted.  The Kreg jig can be, but it is not a simple process.  One has to adjust the drilling block up, toward a thinner wood setting (normally, it would be set for 3/4 if using 3/4 stock).  And then, you have to also adjust where the bushing is on the drill bit.  So, a bit of trial and error and testing, but doable.  A final compaint against both the Kreg and Porter Cable drill bits is that they use only one setscrew to hold the bushing.  I've already had a bushing slip.  Larger setscrews should also be used so that it's harder to strip them out.  I was wowed by the potential of this tool, but for me, it is useless, I'm using the Kreg for everything that I really care about.  The reason that the Porter Cable is now so much cheaper than when I paid over $200 for it is either that they can't sell it for that price or they're coming out with a new and improved model.",2.0,0,"[0.21666666666666667, 0.43333333333333335, 0.525, -0.18055555555555558, 0.25, 0.05000000000000002, 0.4, 0.24523809523809526, 0.1, 0.275, -0.125, 0.1875, 0.0, 0.0, 0.0, 0.0, -0.057499999999999996, -0.125, -0.25, -0.2, -0.05, -0.16666666666666666, -0.2916666666666667, 0.375, 0.2, -0.25, 0.2619047619047619, 0.0, 0.0, 0.0, 0.0, 0.17222222222222222, 0.03253968253968253, 0.21666666666666667, 0.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45, 0.0, -0.09583333333333333, 0.0, 0.0, 0.15, 0.0, 0.0, 0.0, 0.0, -0.05, -0.09999999999999999, 0.16818181818181818]",1,1
101015,"These bulbs claim to be a very 'white' light. I purchased these to replace the 5100k fluorescents I had in my bathroom lights, as the fluorescents were VERY slow to get bright. I had hoped that these would be decent, at least, as they are advertised as being very 'white' light, but there is no color temperature measurement anywhere.Unfortunately, these bulbs are about 2700k-3000k - extremely yellow, or 'soft white', just like every other incandescent bulb on the market. I'm not sure what everyone's age-old obsession with not being able to see properly in their house is, but I definitely don't enjoy it. With this style of bulb, however, it seems I don't have a choice in that room.",1.0,0,"[0.2, 0.155, -0.0287037037037037, 0.029999999999999992, 0.0]",1,0
101047,For the most part this machine is a good compromise that does a fairly good job but not  great one. It's great for hobby/small wood working projects but nothing on a larger scale. One problem I have is with the miter gauge. It does not slide in the channels smoothly and does not hold a setting very well. It's actually very cheaply made and not adequate for a job that requires any degree of accuracy. In searching for a better after-market miter gauge I found that Rockwell has designed this saw with what are apparently one-of-a-kind channels. I contacted Rockwell Customer Service via E-mail and asked about after-market gauges and how to acquire a replacement OEM gauge and was told that Rockwell does not sell after-market parts and they didn't bother addressing the OEM gauge question at all. Basically: &#34;Sorry about your luck!&#34; In addition while looking for a OEM gauge I found that several repair parts for the BladeRunner have been discontinued and are no longer available. (ie: the on/off switch; kind of an important part.) This for a machine that is still being sold?,1.0,0,"[0.375, 0.18333333333333335, 0.0, 0.30000000000000004, 0.1766666666666667, 0.3833333333333333, 0.0, -0.033333333333333326, 0.5, 0.0]",1,1
101057,This tool is well named ! i bought this tool a month ago & found that no matter how slow i pushed material thru the blade at any speed it always cuts with an ARC !! I am very disappointed with its performance !,2.0,0,"[0.0, -0.30000000000000004, -0.9750000000000001]",0,0
101061,"I love Amazon. I was thinking how nice the Rockwell would be to own. After reading the reviews. I will wait until they improve it.Since it appears to be junk, was it made in China ?",2.0,0,"[0.5, 0.6, 0.0, 0.0]",1,1
